Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011484 | lrm: 1.00 | dt: 9030ms | tok/sec: 29,028 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.173816 | lrm: 1.00 | dt: 471ms | tok/sec: 556,592 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.950383 | lrm: 1.00 | dt: 475ms | tok/sec: 551,828 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.766340 | lrm: 1.00 | dt: 472ms | tok/sec: 555,825 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.380421 | lrm: 1.00 | dt: 471ms | tok/sec: 556,083 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.044750 | lrm: 1.00 | dt: 473ms | tok/sec: 553,917 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.762129 | lrm: 1.00 | dt: 475ms | tok/sec: 552,426 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.521351 | lrm: 1.00 | dt: 474ms | tok/sec: 553,572 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.305838 | lrm: 1.00 | dt: 476ms | tok/sec: 550,865 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.113843 | lrm: 1.00 | dt: 475ms | tok/sec: 552,107 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.948126 | lrm: 1.00 | dt: 476ms | tok/sec: 551,195 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.797529 | lrm: 1.00 | dt: 476ms | tok/sec: 550,780 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.657292 | lrm: 1.00 | dt: 476ms | tok/sec: 550,941 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.541555 | lrm: 1.00 | dt: 476ms | tok/sec: 550,940 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00050 (6.2%) | loss: 5.132642 | lrm: 1.00 | dt: 476ms | tok/sec: 550,529 | mfu: 13.3% | epoch: 1 | remaining: 281s    
step 00051 (6.4%) | loss: 5.111544 | lrm: 1.00 | dt: 476ms | tok/sec: 550,254 | mfu: 13.3% | epoch: 1 | remaining: 280s    
step 00052 (6.5%) | loss: 5.092900 | lrm: 1.00 | dt: 478ms | tok/sec: 547,927 | mfu: 13.2% | epoch: 1 | remaining: 280s    
step 00053 (6.7%) | loss: 5.075172 | lrm: 1.00 | dt: 477ms | tok/sec: 549,445 | mfu: 13.3% | epoch: 1 | remaining: 279s    
step 00054 (6.8%) | loss: 5.056869 | lrm: 1.00 | dt: 479ms | tok/sec: 546,765 | mfu: 13.2% | epoch: 1 | remaining: 279s    
step 00055 (7.0%) | loss: 5.040882 | lrm: 1.00 | dt: 478ms | tok/sec: 548,048 | mfu: 13.2% | epoch: 1 | remaining: 279s    
step 00056 (7.2%) | loss: 5.026140 | lrm: 1.00 | dt: 479ms | tok/sec: 547,504 | mfu: 13.2% | epoch: 1 | remaining: 278s    
step 00057 (7.3%) | loss: 5.010890 | lrm: 1.00 | dt: 479ms | tok/sec: 547,252 | mfu: 13.2% | epoch: 1 | remaining: 278s    
step 00058 (7.5%) | loss: 4.991866 | lrm: 1.00 | dt: 476ms | tok/sec: 550,658 | mfu: 13.3% | epoch: 1 | remaining: 277s    
step 00059 (7.6%) | loss: 4.975867 | lrm: 1.00 | dt: 481ms | tok/sec: 544,932 | mfu: 13.2% | epoch: 1 | remaining: 277s    
step 00060 (7.8%) | loss: 4.960645 | lrm: 1.00 | dt: 478ms | tok/sec: 547,982 | mfu: 13.2% | epoch: 1 | remaining: 276s    
step 00061 (8.0%) | loss: 4.939562 | lrm: 1.00 | dt: 478ms | tok/sec: 548,472 | mfu: 13.3% | epoch: 1 | remaining: 276s    
step 00062 (8.1%) | loss: 4.921018 | lrm: 1.00 | dt: 481ms | tok/sec: 545,363 | mfu: 13.2% | epoch: 1 | remaining: 275s    
step 00063 (8.3%) | loss: 4.905133 | lrm: 1.00 | dt: 478ms | tok/sec: 548,154 | mfu: 13.2% | epoch: 1 | remaining: 275s    
step 00064 (8.4%) | loss: 4.884586 | lrm: 1.00 | dt: 478ms | tok/sec: 548,455 | mfu: 13.3% | epoch: 1 | remaining: 274s    
step 00065 (8.6%) | loss: 4.866390 | lrm: 1.00 | dt: 479ms | tok/sec: 546,744 | mfu: 13.2% | epoch: 1 | remaining: 274s    
step 00066 (8.8%) | loss: 4.847439 | lrm: 1.00 | dt: 482ms | tok/sec: 543,815 | mfu: 13.1% | epoch: 1 | remaining: 273s    
step 00067 (8.9%) | loss: 4.837151 | lrm: 1.00 | dt: 477ms | tok/sec: 549,490 | mfu: 13.3% | epoch: 1 | remaining: 273s    
step 00068 (9.1%) | loss: 4.819311 | lrm: 1.00 | dt: 480ms | tok/sec: 546,059 | mfu: 13.2% | epoch: 1 | remaining: 272s    
step 00069 (9.2%) | loss: 4.801413 | lrm: 1.00 | dt: 479ms | tok/sec: 547,170 | mfu: 13.2% | epoch: 1 | remaining: 272s    
step 00070 (9.4%) | loss: 4.781529 | lrm: 1.00 | dt: 481ms | tok/sec: 545,309 | mfu: 13.2% | epoch: 1 | remaining: 271s    
step 00071 (9.6%) | loss: 4.766617 | lrm: 1.00 | dt: 478ms | tok/sec: 548,823 | mfu: 13.3% | epoch: 1 | remaining: 271s    
step 00072 (9.7%) | loss: 4.749038 | lrm: 1.00 | dt: 481ms | tok/sec: 545,061 | mfu: 13.2% | epoch: 1 | remaining: 270s    
step 00073 (9.9%) | loss: 4.732319 | lrm: 1.00 | dt: 480ms | tok/sec: 545,690 | mfu: 13.2% | epoch: 1 | remaining: 270s    
step 00074 (10.0%) | loss: 4.716895 | lrm: 1.00 | dt: 480ms | tok/sec: 545,794 | mfu: 13.2% | epoch: 1 | remaining: 269s    
step 00075 (10.2%) | loss: 4.696392 | lrm: 1.00 | dt: 479ms | tok/sec: 546,907 | mfu: 13.2% | epoch: 1 | remaining: 269s    
step 00076 (10.4%) | loss: 4.682329 | lrm: 1.00 | dt: 481ms | tok/sec: 545,166 | mfu: 13.2% | epoch: 1 | remaining: 268s    
step 00077 (10.5%) | loss: 4.668424 | lrm: 1.00 | dt: 481ms | tok/sec: 544,967 | mfu: 13.2% | epoch: 1 | remaining: 268s    
step 00078 (10.7%) | loss: 4.654080 | lrm: 1.00 | dt: 482ms | tok/sec: 544,230 | mfu: 13.1% | epoch: 1 | remaining: 267s    
step 00079 (10.8%) | loss: 4.639434 | lrm: 1.00 | dt: 478ms | tok/sec: 548,914 | mfu: 13.3% | epoch: 1 | remaining: 267s    
step 00080 (11.0%) | loss: 4.617969 | lrm: 1.00 | dt: 480ms | tok/sec: 546,066 | mfu: 13.2% | epoch: 1 | remaining: 267s    
step 00081 (11.2%) | loss: 4.603062 | lrm: 1.00 | dt: 482ms | tok/sec: 543,345 | mfu: 13.1% | epoch: 1 | remaining: 266s    
step 00082 (11.3%) | loss: 4.583753 | lrm: 1.00 | dt: 481ms | tok/sec: 544,694 | mfu: 13.2% | epoch: 1 | remaining: 266s    
step 00083 (11.5%) | loss: 4.567987 | lrm: 1.00 | dt: 479ms | tok/sec: 546,898 | mfu: 13.2% | epoch: 1 | remaining: 265s    
step 00084 (11.6%) | loss: 4.549216 | lrm: 1.00 | dt: 480ms | tok/sec: 546,203 | mfu: 13.2% | epoch: 1 | remaining: 265s    
step 00085 (11.8%) | loss: 4.531279 | lrm: 1.00 | dt: 482ms | tok/sec: 543,853 | mfu: 13.1% | epoch: 1 | remaining: 264s    
step 00086 (12.0%) | loss: 4.519046 | lrm: 1.00 | dt: 482ms | tok/sec: 544,194 | mfu: 13.1% | epoch: 1 | remaining: 264s    
step 00087 (12.1%) | loss: 4.506978 | lrm: 1.00 | dt: 481ms | tok/sec: 544,942 | mfu: 13.2% | epoch: 1 | remaining: 263s    
step 00088 (12.3%) | loss: 4.480725 | lrm: 1.00 | dt: 479ms | tok/sec: 547,541 | mfu: 13.2% | epoch: 1 | remaining: 263s    
step 00089 (12.4%) | loss: 4.462278 | lrm: 1.00 | dt: 481ms | tok/sec: 545,353 | mfu: 13.2% | epoch: 1 | remaining: 262s    
step 00090 (12.6%) | loss: 4.448037 | lrm: 1.00 | dt: 483ms | tok/sec: 542,225 | mfu: 13.1% | epoch: 1 | remaining: 262s    
step 00091 (12.8%) | loss: 4.435330 | lrm: 1.00 | dt: 481ms | tok/sec: 544,712 | mfu: 13.2% | epoch: 1 | remaining: 261s    
step 00092 (12.9%) | loss: 4.421328 | lrm: 1.00 | dt: 483ms | tok/sec: 542,857 | mfu: 13.1% | epoch: 1 | remaining: 261s    
step 00093 (13.1%) | loss: 4.402632 | lrm: 1.00 | dt: 480ms | tok/sec: 546,193 | mfu: 13.2% | epoch: 1 | remaining: 260s    
step 00094 (13.2%) | loss: 4.390665 | lrm: 1.00 | dt: 480ms | tok/sec: 545,739 | mfu: 13.2% | epoch: 1 | remaining: 260s    
step 00095 (13.4%) | loss: 4.366856 | lrm: 1.00 | dt: 482ms | tok/sec: 544,121 | mfu: 13.1% | epoch: 1 | remaining: 259s    
step 00096 (13.6%) | loss: 4.345663 | lrm: 1.00 | dt: 480ms | tok/sec: 545,592 | mfu: 13.2% | epoch: 1 | remaining: 259s    
step 00097 (13.7%) | loss: 4.337168 | lrm: 1.00 | dt: 481ms | tok/sec: 545,561 | mfu: 13.2% | epoch: 1 | remaining: 258s    
step 00098 (13.9%) | loss: 4.321633 | lrm: 1.00 | dt: 478ms | tok/sec: 548,458 | mfu: 13.3% | epoch: 1 | remaining: 258s    
step 00099 (14.0%) | loss: 4.302266 | lrm: 1.00 | dt: 481ms | tok/sec: 544,567 | mfu: 13.2% | epoch: 1 | remaining: 257s    
step 00100 (14.2%) | loss: 4.288857 | lrm: 1.00 | dt: 480ms | tok/sec: 545,792 | mfu: 13.2% | epoch: 1 | remaining: 257s    
step 00101 (14.4%) | loss: 4.273582 | lrm: 1.00 | dt: 479ms | tok/sec: 546,905 | mfu: 13.2% | epoch: 1 | remaining: 256s    
step 00102 (14.5%) | loss: 4.257787 | lrm: 1.00 | dt: 481ms | tok/sec: 545,441 | mfu: 13.2% | epoch: 1 | remaining: 256s    
step 00103 (14.7%) | loss: 4.246563 | lrm: 1.00 | dt: 482ms | tok/sec: 543,907 | mfu: 13.1% | epoch: 1 | remaining: 255s    
step 00104 (14.8%) | loss: 4.228458 | lrm: 1.00 | dt: 481ms | tok/sec: 545,419 | mfu: 13.2% | epoch: 1 | remaining: 255s    
step 00105 (15.0%) | loss: 4.214949 | lrm: 1.00 | dt: 480ms | tok/sec: 546,305 | mfu: 13.2% | epoch: 1 | remaining: 254s    
step 00106 (15.2%) | loss: 4.201459 | lrm: 1.00 | dt: 481ms | tok/sec: 545,082 | mfu: 13.2% | epoch: 1 | remaining: 254s    
step 00107 (15.3%) | loss: 4.187822 | lrm: 1.00 | dt: 481ms | tok/sec: 545,445 | mfu: 13.2% | epoch: 1 | remaining: 254s    
step 00108 (15.5%) | loss: 4.178112 | lrm: 1.00 | dt: 482ms | tok/sec: 543,674 | mfu: 13.1% | epoch: 1 | remaining: 253s    
step 00109 (15.6%) | loss: 4.168712 | lrm: 1.00 | dt: 480ms | tok/sec: 546,184 | mfu: 13.2% | epoch: 1 | remaining: 253s    
step 00110 (15.8%) | loss: 4.154221 | lrm: 1.00 | dt: 479ms | tok/sec: 547,140 | mfu: 13.2% | epoch: 1 | remaining: 252s    
step 00111 (16.0%) | loss: 4.136638 | lrm: 1.00 | dt: 483ms | tok/sec: 542,410 | mfu: 13.1% | epoch: 1 | remaining: 252s    
step 00112 (16.1%) | loss: 4.117977 | lrm: 1.00 | dt: 483ms | tok/sec: 542,561 | mfu: 13.1% | epoch: 1 | remaining: 251s    
step 00113 (16.3%) | loss: 4.109540 | lrm: 1.00 | dt: 482ms | tok/sec: 543,403 | mfu: 13.1% | epoch: 1 | remaining: 251s    
step 00114 (16.5%) | loss: 4.098669 | lrm: 1.00 | dt: 480ms | tok/sec: 546,442 | mfu: 13.2% | epoch: 1 | remaining: 250s    
step 00115 (16.6%) | loss: 4.087065 | lrm: 1.00 | dt: 482ms | tok/sec: 543,318 | mfu: 13.1% | epoch: 1 | remaining: 250s    
step 00116 (16.8%) | loss: 4.071900 | lrm: 1.00 | dt: 483ms | tok/sec: 542,963 | mfu: 13.1% | epoch: 1 | remaining: 249s    
step 00117 (16.9%) | loss: 4.055584 | lrm: 1.00 | dt: 480ms | tok/sec: 545,982 | mfu: 13.2% | epoch: 1 | remaining: 249s    
step 00118 (17.1%) | loss: 4.044628 | lrm: 1.00 | dt: 480ms | tok/sec: 546,248 | mfu: 13.2% | epoch: 1 | remaining: 248s    
step 00119 (17.3%) | loss: 4.034759 | lrm: 1.00 | dt: 481ms | tok/sec: 545,409 | mfu: 13.2% | epoch: 1 | remaining: 248s    
step 00120 (17.4%) | loss: 4.024396 | lrm: 1.00 | dt: 482ms | tok/sec: 543,420 | mfu: 13.1% | epoch: 1 | remaining: 247s    
step 00121 (17.6%) | loss: 4.014411 | lrm: 1.00 | dt: 480ms | tok/sec: 546,013 | mfu: 13.2% | epoch: 1 | remaining: 247s    
step 00122 (17.7%) | loss: 4.004467 | lrm: 1.00 | dt: 479ms | tok/sec: 547,153 | mfu: 13.2% | epoch: 1 | remaining: 246s    
step 00123 (17.9%) | loss: 3.988132 | lrm: 1.00 | dt: 482ms | tok/sec: 544,235 | mfu: 13.1% | epoch: 1 | remaining: 246s    
step 00124 (18.1%) | loss: 3.980729 | lrm: 1.00 | dt: 482ms | tok/sec: 544,099 | mfu: 13.1% | epoch: 1 | remaining: 245s    
step 00125 (18.2%) | loss: 3.966679 | lrm: 1.00 | dt: 481ms | tok/sec: 545,387 | mfu: 13.2% | epoch: 1 | remaining: 245s    
step 00126 (18.4%) | loss: 3.958099 | lrm: 1.00 | dt: 481ms | tok/sec: 545,313 | mfu: 13.2% | epoch: 1 | remaining: 244s    
step 00127 (18.5%) | loss: 3.947913 | lrm: 1.00 | dt: 481ms | tok/sec: 545,434 | mfu: 13.2% | epoch: 1 | remaining: 244s    
step 00128 (18.7%) | loss: 3.934699 | lrm: 1.00 | dt: 483ms | tok/sec: 543,031 | mfu: 13.1% | epoch: 1 | remaining: 243s    
step 00129 (18.9%) | loss: 3.932662 | lrm: 1.00 | dt: 483ms | tok/sec: 542,832 | mfu: 13.1% | epoch: 1 | remaining: 243s    
step 00130 (19.0%) | loss: 3.919425 | lrm: 1.00 | dt: 481ms | tok/sec: 544,500 | mfu: 13.2% | epoch: 1 | remaining: 242s    
step 00131 (19.2%) | loss: 3.903323 | lrm: 1.00 | dt: 480ms | tok/sec: 545,807 | mfu: 13.2% | epoch: 1 | remaining: 242s    
step 00132 (19.3%) | loss: 3.898356 | lrm: 1.00 | dt: 480ms | tok/sec: 546,056 | mfu: 13.2% | epoch: 1 | remaining: 242s    
step 00133 (19.5%) | loss: 3.885846 | lrm: 1.00 | dt: 483ms | tok/sec: 542,721 | mfu: 13.1% | epoch: 1 | remaining: 241s    
step 00134 (19.7%) | loss: 3.877476 | lrm: 1.00 | dt: 481ms | tok/sec: 545,345 | mfu: 13.2% | epoch: 1 | remaining: 241s    
step 00135 (19.8%) | loss: 3.873201 | lrm: 1.00 | dt: 485ms | tok/sec: 540,388 | mfu: 13.1% | epoch: 1 | remaining: 240s    
step 00136 (20.0%) | loss: 3.868981 | lrm: 1.00 | dt: 481ms | tok/sec: 545,405 | mfu: 13.2% | epoch: 1 | remaining: 240s    
step 00137 (20.1%) | loss: 3.860895 | lrm: 1.00 | dt: 483ms | tok/sec: 542,954 | mfu: 13.1% | epoch: 1 | remaining: 239s    
step 00138 (20.3%) | loss: 3.852440 | lrm: 1.00 | dt: 480ms | tok/sec: 546,023 | mfu: 13.2% | epoch: 1 | remaining: 239s    
step 00139 (20.5%) | loss: 3.849536 | lrm: 1.00 | dt: 483ms | tok/sec: 542,457 | mfu: 13.1% | epoch: 1 | remaining: 238s    
step 00140 (20.6%) | loss: 3.838339 | lrm: 1.00 | dt: 480ms | tok/sec: 545,663 | mfu: 13.2% | epoch: 1 | remaining: 238s    
step 00141 (20.8%) | loss: 3.829092 | lrm: 1.00 | dt: 482ms | tok/sec: 543,483 | mfu: 13.1% | epoch: 1 | remaining: 237s    
step 00142 (20.9%) | loss: 3.820868 | lrm: 1.00 | dt: 483ms | tok/sec: 542,874 | mfu: 13.1% | epoch: 1 | remaining: 237s    
step 00143 (21.1%) | loss: 3.800357 | lrm: 1.00 | dt: 481ms | tok/sec: 544,646 | mfu: 13.2% | epoch: 1 | remaining: 236s    
step 00144 (21.3%) | loss: 3.788439 | lrm: 1.00 | dt: 482ms | tok/sec: 543,835 | mfu: 13.1% | epoch: 1 | remaining: 236s    
step 00145 (21.4%) | loss: 3.781519 | lrm: 1.00 | dt: 480ms | tok/sec: 545,980 | mfu: 13.2% | epoch: 1 | remaining: 235s    
step 00146 (21.6%) | loss: 3.779588 | lrm: 1.00 | dt: 482ms | tok/sec: 544,105 | mfu: 13.1% | epoch: 1 | remaining: 235s    
step 00147 (21.7%) | loss: 3.770529 | lrm: 1.00 | dt: 482ms | tok/sec: 544,224 | mfu: 13.1% | epoch: 1 | remaining: 234s    
step 00148 (21.9%) | loss: 3.760145 | lrm: 1.00 | dt: 483ms | tok/sec: 542,704 | mfu: 13.1% | epoch: 1 | remaining: 234s    
step 00149 (22.1%) | loss: 3.753052 | lrm: 1.00 | dt: 482ms | tok/sec: 543,699 | mfu: 13.1% | epoch: 1 | remaining: 233s    
step 00150 (22.2%) | loss: 3.750342 | lrm: 1.00 | dt: 484ms | tok/sec: 542,169 | mfu: 13.1% | epoch: 1 | remaining: 233s    
step 00151 (22.4%) | loss: 3.745373 | lrm: 1.00 | dt: 481ms | tok/sec: 544,882 | mfu: 13.2% | epoch: 1 | remaining: 232s    
step 00152 (22.6%) | loss: 3.737724 | lrm: 1.00 | dt: 481ms | tok/sec: 545,058 | mfu: 13.2% | epoch: 1 | remaining: 232s    
step 00153 (22.7%) | loss: 3.732918 | lrm: 1.00 | dt: 481ms | tok/sec: 544,877 | mfu: 13.2% | epoch: 1 | remaining: 231s    
step 00154 (22.9%) | loss: 3.734149 | lrm: 1.00 | dt: 482ms | tok/sec: 543,969 | mfu: 13.1% | epoch: 1 | remaining: 231s    
step 00155 (23.0%) | loss: 3.733279 | lrm: 1.00 | dt: 482ms | tok/sec: 543,419 | mfu: 13.1% | epoch: 1 | remaining: 230s    
step 00156 (23.2%) | loss: 3.736118 | lrm: 1.00 | dt: 483ms | tok/sec: 543,110 | mfu: 13.1% | epoch: 1 | remaining: 230s    
