Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011397 | lrm: 1.00 | dt: 8587ms | tok/sec: 15,264 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.154491 | lrm: 1.00 | dt: 236ms | tok/sec: 554,318 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.980862 | lrm: 1.00 | dt: 240ms | tok/sec: 547,182 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.574509 | lrm: 1.00 | dt: 237ms | tok/sec: 552,516 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.280329 | lrm: 1.00 | dt: 240ms | tok/sec: 547,070 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.949005 | lrm: 1.00 | dt: 238ms | tok/sec: 549,616 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.657879 | lrm: 1.00 | dt: 240ms | tok/sec: 546,875 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.415206 | lrm: 1.00 | dt: 239ms | tok/sec: 548,721 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.210602 | lrm: 1.00 | dt: 240ms | tok/sec: 547,037 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.032731 | lrm: 1.00 | dt: 240ms | tok/sec: 545,177 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.873997 | lrm: 1.00 | dt: 239ms | tok/sec: 549,526 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.732649 | lrm: 1.00 | dt: 239ms | tok/sec: 548,959 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.611961 | lrm: 1.00 | dt: 240ms | tok/sec: 545,709 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 6.505329 | lrm: 1.00 | dt: 241ms | tok/sec: 543,937 | mfu: 13.1% | epoch: 1 | remaining: 299s    
step 00031 (1.6%) | loss: 5.618536 | lrm: 1.00 | dt: 241ms | tok/sec: 543,651 | mfu: 13.1% | epoch: 1 | remaining: 295s    
step 00032 (1.7%) | loss: 5.589463 | lrm: 1.00 | dt: 241ms | tok/sec: 543,783 | mfu: 13.1% | epoch: 1 | remaining: 295s    
step 00033 (1.8%) | loss: 5.565269 | lrm: 1.00 | dt: 241ms | tok/sec: 543,714 | mfu: 13.1% | epoch: 1 | remaining: 294s    
step 00034 (1.8%) | loss: 5.537206 | lrm: 1.00 | dt: 241ms | tok/sec: 543,061 | mfu: 13.1% | epoch: 1 | remaining: 294s    
step 00035 (1.9%) | loss: 5.510491 | lrm: 1.00 | dt: 241ms | tok/sec: 544,126 | mfu: 13.1% | epoch: 1 | remaining: 294s    
step 00036 (2.0%) | loss: 5.487528 | lrm: 1.00 | dt: 240ms | tok/sec: 547,040 | mfu: 13.2% | epoch: 1 | remaining: 294s    
step 00037 (2.1%) | loss: 5.461231 | lrm: 1.00 | dt: 240ms | tok/sec: 546,126 | mfu: 13.2% | epoch: 1 | remaining: 294s    
step 00038 (2.2%) | loss: 5.436873 | lrm: 1.00 | dt: 240ms | tok/sec: 546,756 | mfu: 13.2% | epoch: 1 | remaining: 293s    
step 00039 (2.2%) | loss: 5.412609 | lrm: 1.00 | dt: 241ms | tok/sec: 543,794 | mfu: 13.1% | epoch: 1 | remaining: 293s    
step 00040 (2.3%) | loss: 5.388231 | lrm: 1.00 | dt: 241ms | tok/sec: 542,864 | mfu: 13.1% | epoch: 1 | remaining: 293s    
step 00041 (2.4%) | loss: 5.365744 | lrm: 1.00 | dt: 240ms | tok/sec: 547,144 | mfu: 13.2% | epoch: 1 | remaining: 293s    
step 00042 (2.5%) | loss: 5.345465 | lrm: 1.00 | dt: 241ms | tok/sec: 543,825 | mfu: 13.1% | epoch: 1 | remaining: 292s    
step 00043 (2.6%) | loss: 5.321577 | lrm: 1.00 | dt: 241ms | tok/sec: 543,522 | mfu: 13.1% | epoch: 1 | remaining: 292s    
step 00044 (2.6%) | loss: 5.301034 | lrm: 1.00 | dt: 240ms | tok/sec: 546,035 | mfu: 13.2% | epoch: 1 | remaining: 292s    
step 00045 (2.7%) | loss: 5.282715 | lrm: 1.00 | dt: 240ms | tok/sec: 546,930 | mfu: 13.2% | epoch: 1 | remaining: 292s    
step 00046 (2.8%) | loss: 5.264884 | lrm: 1.00 | dt: 240ms | tok/sec: 546,869 | mfu: 13.2% | epoch: 1 | remaining: 291s    
step 00047 (2.9%) | loss: 5.245104 | lrm: 1.00 | dt: 242ms | tok/sec: 542,458 | mfu: 13.1% | epoch: 1 | remaining: 291s    
step 00048 (3.0%) | loss: 5.226859 | lrm: 1.00 | dt: 241ms | tok/sec: 544,873 | mfu: 13.2% | epoch: 1 | remaining: 291s    
step 00049 (3.0%) | loss: 5.208654 | lrm: 1.00 | dt: 241ms | tok/sec: 544,637 | mfu: 13.2% | epoch: 1 | remaining: 291s    
step 00050 (3.1%) | loss: 5.189569 | lrm: 1.00 | dt: 241ms | tok/sec: 542,963 | mfu: 13.1% | epoch: 1 | remaining: 290s    
step 00051 (3.2%) | loss: 5.169206 | lrm: 1.00 | dt: 243ms | tok/sec: 540,245 | mfu: 13.1% | epoch: 1 | remaining: 290s    
step 00052 (3.3%) | loss: 5.146613 | lrm: 1.00 | dt: 242ms | tok/sec: 542,579 | mfu: 13.1% | epoch: 1 | remaining: 290s    
step 00053 (3.4%) | loss: 5.130325 | lrm: 1.00 | dt: 241ms | tok/sec: 543,102 | mfu: 13.1% | epoch: 1 | remaining: 290s    
step 00054 (3.4%) | loss: 5.111629 | lrm: 1.00 | dt: 241ms | tok/sec: 543,091 | mfu: 13.1% | epoch: 1 | remaining: 289s    
step 00055 (3.5%) | loss: 5.093233 | lrm: 1.00 | dt: 241ms | tok/sec: 544,208 | mfu: 13.1% | epoch: 1 | remaining: 289s    
step 00056 (3.6%) | loss: 5.075138 | lrm: 1.00 | dt: 241ms | tok/sec: 544,971 | mfu: 13.2% | epoch: 1 | remaining: 289s    
step 00057 (3.7%) | loss: 5.060261 | lrm: 1.00 | dt: 239ms | tok/sec: 547,497 | mfu: 13.2% | epoch: 1 | remaining: 289s    
step 00058 (3.8%) | loss: 5.047481 | lrm: 1.00 | dt: 240ms | tok/sec: 545,621 | mfu: 13.2% | epoch: 1 | remaining: 288s    
step 00059 (3.8%) | loss: 5.027397 | lrm: 1.00 | dt: 242ms | tok/sec: 542,341 | mfu: 13.1% | epoch: 1 | remaining: 288s    
step 00060 (3.9%) | loss: 5.009822 | lrm: 1.00 | dt: 242ms | tok/sec: 541,780 | mfu: 13.1% | epoch: 1 | remaining: 288s    
step 00061 (4.0%) | loss: 4.987358 | lrm: 1.00 | dt: 242ms | tok/sec: 542,194 | mfu: 13.1% | epoch: 1 | remaining: 288s    
step 00062 (4.1%) | loss: 4.970482 | lrm: 1.00 | dt: 241ms | tok/sec: 542,769 | mfu: 13.1% | epoch: 1 | remaining: 287s    
step 00063 (4.2%) | loss: 4.955473 | lrm: 1.00 | dt: 241ms | tok/sec: 543,976 | mfu: 13.1% | epoch: 1 | remaining: 287s    
step 00064 (4.3%) | loss: 4.940760 | lrm: 1.00 | dt: 243ms | tok/sec: 538,978 | mfu: 13.0% | epoch: 1 | remaining: 287s    
step 00065 (4.3%) | loss: 4.925218 | lrm: 1.00 | dt: 243ms | tok/sec: 540,323 | mfu: 13.1% | epoch: 1 | remaining: 287s    
step 00066 (4.4%) | loss: 4.907459 | lrm: 1.00 | dt: 242ms | tok/sec: 542,140 | mfu: 13.1% | epoch: 1 | remaining: 287s    
step 00067 (4.5%) | loss: 4.895017 | lrm: 1.00 | dt: 242ms | tok/sec: 542,042 | mfu: 13.1% | epoch: 1 | remaining: 286s    
step 00068 (4.6%) | loss: 4.880379 | lrm: 1.00 | dt: 242ms | tok/sec: 542,046 | mfu: 13.1% | epoch: 1 | remaining: 286s    
step 00069 (4.7%) | loss: 4.862430 | lrm: 1.00 | dt: 242ms | tok/sec: 542,389 | mfu: 13.1% | epoch: 1 | remaining: 286s    
step 00070 (4.7%) | loss: 4.848387 | lrm: 1.00 | dt: 241ms | tok/sec: 544,618 | mfu: 13.2% | epoch: 1 | remaining: 286s    
step 00071 (4.8%) | loss: 4.828318 | lrm: 1.00 | dt: 241ms | tok/sec: 544,861 | mfu: 13.2% | epoch: 1 | remaining: 285s    
step 00072 (4.9%) | loss: 4.814392 | lrm: 1.00 | dt: 241ms | tok/sec: 544,886 | mfu: 13.2% | epoch: 1 | remaining: 285s    
step 00073 (5.0%) | loss: 4.796528 | lrm: 1.00 | dt: 241ms | tok/sec: 543,424 | mfu: 13.1% | epoch: 1 | remaining: 285s    
step 00074 (5.1%) | loss: 4.783598 | lrm: 1.00 | dt: 240ms | tok/sec: 545,039 | mfu: 13.2% | epoch: 1 | remaining: 285s    
step 00075 (5.1%) | loss: 4.767584 | lrm: 1.00 | dt: 242ms | tok/sec: 541,762 | mfu: 13.1% | epoch: 1 | remaining: 284s    
step 00076 (5.2%) | loss: 4.751090 | lrm: 1.00 | dt: 242ms | tok/sec: 542,225 | mfu: 13.1% | epoch: 1 | remaining: 284s    
step 00077 (5.3%) | loss: 4.732193 | lrm: 1.00 | dt: 242ms | tok/sec: 542,172 | mfu: 13.1% | epoch: 1 | remaining: 284s    
step 00078 (5.4%) | loss: 4.714464 | lrm: 1.00 | dt: 242ms | tok/sec: 541,813 | mfu: 13.1% | epoch: 1 | remaining: 284s    
step 00079 (5.5%) | loss: 4.699557 | lrm: 1.00 | dt: 243ms | tok/sec: 539,598 | mfu: 13.0% | epoch: 1 | remaining: 283s    
step 00080 (5.5%) | loss: 4.685136 | lrm: 1.00 | dt: 242ms | tok/sec: 541,741 | mfu: 13.1% | epoch: 1 | remaining: 283s    
step 00081 (5.6%) | loss: 4.672462 | lrm: 1.00 | dt: 243ms | tok/sec: 538,360 | mfu: 13.0% | epoch: 1 | remaining: 283s    
step 00082 (5.7%) | loss: 4.654263 | lrm: 1.00 | dt: 242ms | tok/sec: 542,527 | mfu: 13.1% | epoch: 1 | remaining: 283s    
step 00083 (5.8%) | loss: 4.636896 | lrm: 1.00 | dt: 241ms | tok/sec: 544,129 | mfu: 13.1% | epoch: 1 | remaining: 282s    
step 00084 (5.9%) | loss: 4.620833 | lrm: 1.00 | dt: 240ms | tok/sec: 545,772 | mfu: 13.2% | epoch: 1 | remaining: 282s    
step 00085 (5.9%) | loss: 4.609596 | lrm: 1.00 | dt: 240ms | tok/sec: 545,348 | mfu: 13.2% | epoch: 1 | remaining: 282s    
step 00086 (6.0%) | loss: 4.592814 | lrm: 1.00 | dt: 240ms | tok/sec: 546,469 | mfu: 13.2% | epoch: 1 | remaining: 282s    
step 00087 (6.1%) | loss: 4.573322 | lrm: 1.00 | dt: 241ms | tok/sec: 544,923 | mfu: 13.2% | epoch: 1 | remaining: 281s    
step 00088 (6.2%) | loss: 4.559750 | lrm: 1.00 | dt: 239ms | tok/sec: 548,495 | mfu: 13.3% | epoch: 1 | remaining: 281s    
step 00089 (6.3%) | loss: 4.542781 | lrm: 1.00 | dt: 241ms | tok/sec: 543,631 | mfu: 13.1% | epoch: 1 | remaining: 281s    
step 00090 (6.3%) | loss: 4.526653 | lrm: 1.00 | dt: 242ms | tok/sec: 542,092 | mfu: 13.1% | epoch: 1 | remaining: 281s    
step 00091 (6.4%) | loss: 4.515994 | lrm: 1.00 | dt: 242ms | tok/sec: 540,793 | mfu: 13.1% | epoch: 1 | remaining: 280s    
step 00092 (6.5%) | loss: 4.500150 | lrm: 1.00 | dt: 242ms | tok/sec: 542,261 | mfu: 13.1% | epoch: 1 | remaining: 280s    
step 00093 (6.6%) | loss: 4.482399 | lrm: 1.00 | dt: 242ms | tok/sec: 541,298 | mfu: 13.1% | epoch: 1 | remaining: 280s    
step 00094 (6.7%) | loss: 4.466580 | lrm: 1.00 | dt: 241ms | tok/sec: 544,223 | mfu: 13.1% | epoch: 1 | remaining: 280s    
step 00095 (6.7%) | loss: 4.446135 | lrm: 1.00 | dt: 242ms | tok/sec: 540,851 | mfu: 13.1% | epoch: 1 | remaining: 280s    
step 00096 (6.8%) | loss: 4.430379 | lrm: 1.00 | dt: 242ms | tok/sec: 542,290 | mfu: 13.1% | epoch: 1 | remaining: 279s    
step 00097 (6.9%) | loss: 4.412739 | lrm: 1.00 | dt: 242ms | tok/sec: 541,428 | mfu: 13.1% | epoch: 1 | remaining: 279s    
step 00098 (7.0%) | loss: 4.391803 | lrm: 1.00 | dt: 241ms | tok/sec: 544,314 | mfu: 13.2% | epoch: 1 | remaining: 279s    
step 00099 (7.1%) | loss: 4.376471 | lrm: 1.00 | dt: 240ms | tok/sec: 546,737 | mfu: 13.2% | epoch: 1 | remaining: 279s    
step 00100 (7.1%) | loss: 4.368281 | lrm: 1.00 | dt: 240ms | tok/sec: 545,881 | mfu: 13.2% | epoch: 1 | remaining: 278s    
step 00101 (7.2%) | loss: 4.356528 | lrm: 1.00 | dt: 241ms | tok/sec: 544,425 | mfu: 13.2% | epoch: 1 | remaining: 278s    
step 00102 (7.3%) | loss: 4.342715 | lrm: 1.00 | dt: 241ms | tok/sec: 544,783 | mfu: 13.2% | epoch: 1 | remaining: 278s    
step 00103 (7.4%) | loss: 4.326011 | lrm: 1.00 | dt: 241ms | tok/sec: 543,975 | mfu: 13.1% | epoch: 1 | remaining: 278s    
step 00104 (7.5%) | loss: 4.313519 | lrm: 1.00 | dt: 244ms | tok/sec: 536,966 | mfu: 13.0% | epoch: 1 | remaining: 277s    
step 00105 (7.6%) | loss: 4.300417 | lrm: 1.00 | dt: 241ms | tok/sec: 544,760 | mfu: 13.2% | epoch: 1 | remaining: 277s    
step 00106 (7.6%) | loss: 4.287280 | lrm: 1.00 | dt: 242ms | tok/sec: 542,576 | mfu: 13.1% | epoch: 1 | remaining: 277s    
step 00107 (7.7%) | loss: 4.273290 | lrm: 1.00 | dt: 242ms | tok/sec: 542,081 | mfu: 13.1% | epoch: 1 | remaining: 277s    
step 00108 (7.8%) | loss: 4.255222 | lrm: 1.00 | dt: 243ms | tok/sec: 538,798 | mfu: 13.0% | epoch: 1 | remaining: 276s    
step 00109 (7.9%) | loss: 4.238516 | lrm: 1.00 | dt: 241ms | tok/sec: 542,919 | mfu: 13.1% | epoch: 1 | remaining: 276s    
step 00110 (8.0%) | loss: 4.225119 | lrm: 1.00 | dt: 241ms | tok/sec: 542,747 | mfu: 13.1% | epoch: 1 | remaining: 276s    
step 00111 (8.0%) | loss: 4.217952 | lrm: 1.00 | dt: 242ms | tok/sec: 541,423 | mfu: 13.1% | epoch: 1 | remaining: 276s    
step 00112 (8.1%) | loss: 4.208205 | lrm: 1.00 | dt: 243ms | tok/sec: 538,403 | mfu: 13.0% | epoch: 1 | remaining: 275s    
step 00113 (8.2%) | loss: 4.198108 | lrm: 1.00 | dt: 241ms | tok/sec: 543,349 | mfu: 13.1% | epoch: 1 | remaining: 275s    
step 00114 (8.3%) | loss: 4.184318 | lrm: 1.00 | dt: 242ms | tok/sec: 540,896 | mfu: 13.1% | epoch: 1 | remaining: 275s    
step 00115 (8.4%) | loss: 4.174292 | lrm: 1.00 | dt: 242ms | tok/sec: 541,277 | mfu: 13.1% | epoch: 1 | remaining: 275s    
step 00116 (8.4%) | loss: 4.165873 | lrm: 1.00 | dt: 243ms | tok/sec: 539,568 | mfu: 13.0% | epoch: 1 | remaining: 274s    
step 00117 (8.5%) | loss: 4.151406 | lrm: 1.00 | dt: 243ms | tok/sec: 539,609 | mfu: 13.0% | epoch: 1 | remaining: 274s    
step 00118 (8.6%) | loss: 4.140441 | lrm: 1.00 | dt: 242ms | tok/sec: 540,891 | mfu: 13.1% | epoch: 1 | remaining: 274s    
step 00119 (8.7%) | loss: 4.129879 | lrm: 1.00 | dt: 241ms | tok/sec: 542,918 | mfu: 13.1% | epoch: 1 | remaining: 274s    
step 00120 (8.8%) | loss: 4.123877 | lrm: 1.00 | dt: 243ms | tok/sec: 540,224 | mfu: 13.1% | epoch: 1 | remaining: 273s    
step 00121 (8.8%) | loss: 4.111032 | lrm: 1.00 | dt: 242ms | tok/sec: 541,891 | mfu: 13.1% | epoch: 1 | remaining: 273s    
step 00122 (8.9%) | loss: 4.100065 | lrm: 1.00 | dt: 243ms | tok/sec: 538,775 | mfu: 13.0% | epoch: 1 | remaining: 273s    
step 00123 (9.0%) | loss: 4.087111 | lrm: 1.00 | dt: 241ms | tok/sec: 543,375 | mfu: 13.1% | epoch: 1 | remaining: 273s    
step 00124 (9.1%) | loss: 4.076324 | lrm: 1.00 | dt: 243ms | tok/sec: 540,391 | mfu: 13.1% | epoch: 1 | remaining: 273s    
step 00125 (9.2%) | loss: 4.064790 | lrm: 1.00 | dt: 242ms | tok/sec: 541,033 | mfu: 13.1% | epoch: 1 | remaining: 272s    
step 00126 (9.2%) | loss: 4.051050 | lrm: 1.00 | dt: 242ms | tok/sec: 541,308 | mfu: 13.1% | epoch: 1 | remaining: 272s    
step 00127 (9.3%) | loss: 4.044649 | lrm: 1.00 | dt: 242ms | tok/sec: 540,927 | mfu: 13.1% | epoch: 1 | remaining: 272s    
step 00128 (9.4%) | loss: 4.038660 | lrm: 1.00 | dt: 242ms | tok/sec: 540,840 | mfu: 13.1% | epoch: 1 | remaining: 272s    
step 00129 (9.5%) | loss: 4.024916 | lrm: 1.00 | dt: 243ms | tok/sec: 538,606 | mfu: 13.0% | epoch: 1 | remaining: 271s    
step 00130 (9.6%) | loss: 4.013857 | lrm: 1.00 | dt: 242ms | tok/sec: 541,757 | mfu: 13.1% | epoch: 1 | remaining: 271s    
step 00131 (9.6%) | loss: 4.000194 | lrm: 1.00 | dt: 243ms | tok/sec: 539,221 | mfu: 13.0% | epoch: 1 | remaining: 271s    
step 00132 (9.7%) | loss: 3.994682 | lrm: 1.00 | dt: 242ms | tok/sec: 541,972 | mfu: 13.1% | epoch: 1 | remaining: 271s    
step 00133 (9.8%) | loss: 3.989340 | lrm: 1.00 | dt: 242ms | tok/sec: 542,719 | mfu: 13.1% | epoch: 1 | remaining: 270s    
step 00134 (9.9%) | loss: 3.977172 | lrm: 1.00 | dt: 243ms | tok/sec: 540,007 | mfu: 13.0% | epoch: 1 | remaining: 270s    
step 00135 (10.0%) | loss: 3.972818 | lrm: 1.00 | dt: 242ms | tok/sec: 541,077 | mfu: 13.1% | epoch: 1 | remaining: 270s    
step 00136 (10.1%) | loss: 3.962288 | lrm: 1.00 | dt: 243ms | tok/sec: 539,065 | mfu: 13.0% | epoch: 1 | remaining: 270s    
step 00137 (10.1%) | loss: 3.952420 | lrm: 1.00 | dt: 242ms | tok/sec: 542,553 | mfu: 13.1% | epoch: 1 | remaining: 269s    
step 00138 (10.2%) | loss: 3.938836 | lrm: 1.00 | dt: 242ms | tok/sec: 540,949 | mfu: 13.1% | epoch: 1 | remaining: 269s    
step 00139 (10.3%) | loss: 3.931167 | lrm: 1.00 | dt: 243ms | tok/sec: 540,059 | mfu: 13.0% | epoch: 1 | remaining: 269s    
step 00140 (10.4%) | loss: 3.920243 | lrm: 1.00 | dt: 242ms | tok/sec: 540,572 | mfu: 13.1% | epoch: 1 | remaining: 269s    
step 00141 (10.5%) | loss: 3.913251 | lrm: 1.00 | dt: 243ms | tok/sec: 539,484 | mfu: 13.0% | epoch: 1 | remaining: 268s    
step 00142 (10.5%) | loss: 3.907039 | lrm: 1.00 | dt: 242ms | tok/sec: 541,951 | mfu: 13.1% | epoch: 1 | remaining: 268s    
step 00143 (10.6%) | loss: 3.900898 | lrm: 1.00 | dt: 242ms | tok/sec: 540,737 | mfu: 13.1% | epoch: 1 | remaining: 268s    
step 00144 (10.7%) | loss: 3.894427 | lrm: 1.00 | dt: 242ms | tok/sec: 541,953 | mfu: 13.1% | epoch: 1 | remaining: 268s    
step 00145 (10.8%) | loss: 3.890343 | lrm: 1.00 | dt: 242ms | tok/sec: 542,048 | mfu: 13.1% | epoch: 1 | remaining: 267s    
step 00146 (10.9%) | loss: 3.886802 | lrm: 1.00 | dt: 243ms | tok/sec: 539,294 | mfu: 13.0% | epoch: 1 | remaining: 267s    
step 00147 (10.9%) | loss: 3.875429 | lrm: 1.00 | dt: 242ms | tok/sec: 540,551 | mfu: 13.1% | epoch: 1 | remaining: 267s    
step 00148 (11.0%) | loss: 3.874307 | lrm: 1.00 | dt: 243ms | tok/sec: 539,703 | mfu: 13.0% | epoch: 1 | remaining: 267s    
step 00149 (11.1%) | loss: 3.867841 | lrm: 1.00 | dt: 242ms | tok/sec: 542,369 | mfu: 13.1% | epoch: 1 | remaining: 266s    
step 00150 (11.2%) | loss: 3.861476 | lrm: 1.00 | dt: 243ms | tok/sec: 539,416 | mfu: 13.0% | epoch: 1 | remaining: 266s    
step 00151 (11.3%) | loss: 3.856330 | lrm: 1.00 | dt: 242ms | tok/sec: 541,204 | mfu: 13.1% | epoch: 1 | remaining: 266s    
step 00152 (11.3%) | loss: 3.849359 | lrm: 1.00 | dt: 243ms | tok/sec: 538,924 | mfu: 13.0% | epoch: 1 | remaining: 266s    
step 00153 (11.4%) | loss: 3.844621 | lrm: 1.00 | dt: 241ms | tok/sec: 543,877 | mfu: 13.1% | epoch: 1 | remaining: 265s    
step 00154 (11.5%) | loss: 3.839077 | lrm: 1.00 | dt: 243ms | tok/sec: 539,369 | mfu: 13.0% | epoch: 1 | remaining: 265s    
step 00155 (11.6%) | loss: 3.835924 | lrm: 1.00 | dt: 242ms | tok/sec: 541,692 | mfu: 13.1% | epoch: 1 | remaining: 265s    
