Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
===
Beam search k=1, segment=20, cooldown=20
Seed: 42
Target steps: 1160
Effective total steps: 1160
Segment steps: 20
Cooldown steps: 20
Initial LR_MULTs: (0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)
Child LR factors: (0.8, 1.0, 1.2)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_sizes': (256, 256, 256, 2048, 256, 256, 256, 2048)}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.107668e+08
Device batch size: 64
Gradient accumulation steps: 1
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
---
Round 1/58: fixed steps 1-20, cooldown scoring steps 21-40
  candidate 1/7 | parent_step=0 | LR_MULT=0.5

    step 0001/1160 | LR_MULT 0.5 | loss 9.011397 | avg3 9.011397 | dt 10546ms | tok/sec 12,428 | mfu 0.3% | epoch 1    
    step 0039/40 | LR_MULT 0.025 | loss 5.443825 | avg3 5.453746 | dt 230ms | tok/sec 569,626 | mfu 12.1% | epoch 1    
    step 0040/40 | LR_MULT 0 | loss 5.439107 | avg3 5.440890 | dt 228ms | tok/sec 574,612 | mfu 12.2% | epoch 1    
    avg_loss=5.440890 | kept
  candidate 2/7 | parent_step=0 | LR_MULT=0.75

    step 0001/1160 | LR_MULT 0.75 | loss 9.011397 | avg3 9.011397 | dt 211ms | tok/sec 621,197 | mfu 13.2% | epoch 1    
    step 0002/1160 | LR_MULT 0.75 | loss 9.231295 | avg3 9.121346 | dt 224ms | tok/sec 584,786 | mfu 12.5% | epoch 1    
    step 0003/1160 | LR_MULT 0.75 | loss 8.792814 | avg3 9.011835 | dt 226ms | tok/sec 580,457 | mfu 12.4% | epoch 1    
    step 0004/1160 | LR_MULT 0.75 | loss 8.093784 | avg3 8.705964 | dt 226ms | tok/sec 580,389 | mfu 12.4% | epoch 1    
    step 0005/1160 | LR_MULT 0.75 | loss 7.590891 | avg3 8.159163 | dt 230ms | tok/sec 570,940 | mfu 12.2% | epoch 1    
    step 0006/1160 | LR_MULT 0.75 | loss 7.372495 | avg3 7.685723 | dt 225ms | tok/sec 581,659 | mfu 12.4% | epoch 1    
    step 0007/1160 | LR_MULT 0.75 | loss 7.192743 | avg3 7.385376 | dt 227ms | tok/sec 577,869 | mfu 12.3% | epoch 1    
    step 0008/1160 | LR_MULT 0.75 | loss 7.058238 | avg3 7.207825 | dt 228ms | tok/sec 575,320 | mfu 12.3% | epoch 1    
    step 0009/1160 | LR_MULT 0.75 | loss 6.965041 | avg3 7.072007 | dt 228ms | tok/sec 576,065 | mfu 12.3% | epoch 1    
    step 0010/1160 | LR_MULT 0.75 | loss 6.722890 | avg3 6.915390 | dt 228ms | tok/sec 575,165 | mfu 12.3% | epoch 1    
    step 0011/1160 | LR_MULT 0.75 | loss 6.490789 | avg3 6.726240 | dt 226ms | tok/sec 580,488 | mfu 12.4% | epoch 1    
    step 0012/1160 | LR_MULT 0.75 | loss 6.341292 | avg3 6.518324 | dt 226ms | tok/sec 578,732 | mfu 12.3% | epoch 1    
    step 0013/1160 | LR_MULT 0.75 | loss 6.238264 | avg3 6.356782 | dt 227ms | tok/sec 577,614 | mfu 12.3% | epoch 1    
    step 0014/1160 | LR_MULT 0.75 | loss 6.150911 | avg3 6.243489 | dt 227ms | tok/sec 576,616 | mfu 12.3% | epoch 1    
    step 0015/1160 | LR_MULT 0.75 | loss 6.047972 | avg3 6.145716 | dt 226ms | tok/sec 578,987 | mfu 12.3% | epoch 1    
    step 0016/1160 | LR_MULT 0.75 | loss 5.994415 | avg3 6.064433 | dt 226ms | tok/sec 578,761 | mfu 12.3% | epoch 1    
    step 0017/1160 | LR_MULT 0.75 | loss 5.949382 | avg3 5.997256 | dt 228ms | tok/sec 574,740 | mfu 12.2% | epoch 1    
    step 0018/1160 | LR_MULT 0.75 | loss 5.861188 | avg3 5.934995 | dt 228ms | tok/sec 575,772 | mfu 12.3% | epoch 1    
    step 0019/1160 | LR_MULT 0.75 | loss 5.835072 | avg3 5.881881 | dt 226ms | tok/sec 580,499 | mfu 12.4% | epoch 1    
    step 0020/1160 | LR_MULT 0.75 | loss 5.792645 | avg3 5.829635 | dt 228ms | tok/sec 574,285 | mfu 12.2% | epoch 1    
    cooldown scoring | steps 21-40 | base LR_MULT=0.75

    step 0021/40 | LR_MULT 0.7125 | loss 5.762887 | avg3 5.762887 | dt 223ms | tok/sec 589,050 | mfu 12.5% | epoch 1    
    step 0022/40 | LR_MULT 0.675 | loss 5.717734 | avg3 5.740310 | dt 227ms | tok/sec 576,613 | mfu 12.3% | epoch 1    
    step 0023/40 | LR_MULT 0.6375 | loss 5.686303 | avg3 5.722308 | dt 227ms | tok/sec 576,931 | mfu 12.3% | epoch 1    
    step 0024/40 | LR_MULT 0.6 | loss 5.631968 | avg3 5.678668 | dt 229ms | tok/sec 572,338 | mfu 12.2% | epoch 1    
    step 0025/40 | LR_MULT 0.5625 | loss 5.612281 | avg3 5.643517 | dt 227ms | tok/sec 576,701 | mfu 12.3% | epoch 1    
    step 0026/40 | LR_MULT 0.525 | loss 5.534223 | avg3 5.592824 | dt 227ms | tok/sec 578,096 | mfu 12.3% | epoch 1    
    step 0027/40 | LR_MULT 0.4875 | loss 5.556587 | avg3 5.567697 | dt 227ms | tok/sec 578,500 | mfu 12.3% | epoch 1    
    step 0028/40 | LR_MULT 0.45 | loss 5.558691 | avg3 5.549834 | dt 229ms | tok/sec 572,930 | mfu 12.2% | epoch 1    
    step 0029/40 | LR_MULT 0.4125 | loss 5.540657 | avg3 5.551978 | dt 228ms | tok/sec 575,700 | mfu 12.3% | epoch 1    
    step 0030/40 | LR_MULT 0.375 | loss 5.481284 | avg3 5.526877 | dt 227ms | tok/sec 576,998 | mfu 12.3% | epoch 1    
    step 0031/40 | LR_MULT 0.3375 | loss 5.464193 | avg3 5.495378 | dt 227ms | tok/sec 576,169 | mfu 12.3% | epoch 1    
    step 0032/40 | LR_MULT 0.3 | loss 5.445784 | avg3 5.463754 | dt 229ms | tok/sec 571,517 | mfu 12.2% | epoch 1    
    step 0033/40 | LR_MULT 0.2625 | loss 5.420957 | avg3 5.443645 | dt 227ms | tok/sec 576,957 | mfu 12.3% | epoch 1    
    step 0034/40 | LR_MULT 0.225 | loss 5.439871 | avg3 5.435537 | dt 228ms | tok/sec 574,978 | mfu 12.2% | epoch 1    
    step 0035/40 | LR_MULT 0.1875 | loss 5.383417 | avg3 5.414748 | dt 228ms | tok/sec 574,441 | mfu 12.2% | epoch 1    
    step 0036/40 | LR_MULT 0.15 | loss 5.377591 | avg3 5.400293 | dt 227ms | tok/sec 578,166 | mfu 12.3% | epoch 1    
    step 0037/40 | LR_MULT 0.1125 | loss 5.396083 | avg3 5.385697 | dt 228ms | tok/sec 575,649 | mfu 12.3% | epoch 1    
    step 0038/40 | LR_MULT 0.075 | loss 5.354586 | avg3 5.376087 | dt 227ms | tok/sec 576,767 | mfu 12.3% | epoch 1    
    step 0039/40 | LR_MULT 0.0375 | loss 5.356225 | avg3 5.368965 | dt 230ms | tok/sec 570,492 | mfu 12.2% | epoch 1    
    step 0040/40 | LR_MULT 0 | loss 5.347966 | avg3 5.352926 | dt 227ms | tok/sec 578,047 | mfu 12.3% | epoch 1    
    avg_loss=5.352926 | kept
  candidate 3/7 | parent_step=0 | LR_MULT=1

    step 0001/1160 | LR_MULT 1 | loss 9.011397 | avg3 9.011397 | dt 210ms | tok/sec 625,033 | mfu 13.3% | epoch 1    
    step 0002/1160 | LR_MULT 1 | loss 9.283373 | avg3 9.147385 | dt 224ms | tok/sec 584,556 | mfu 12.5% | epoch 1    
    step 0003/1160 | LR_MULT 1 | loss 8.690583 | avg3 8.995118 | dt 227ms | tok/sec 577,953 | mfu 12.3% | epoch 1    
    step 0004/1160 | LR_MULT 1 | loss 7.612838 | avg3 8.528931 | dt 227ms | tok/sec 577,576 | mfu 12.3% | epoch 1    
    step 0005/1160 | LR_MULT 1 | loss 7.755222 | avg3 8.019548 | dt 229ms | tok/sec 571,547 | mfu 12.2% | epoch 1    
    step 0006/1160 | LR_MULT 1 | loss 7.004716 | avg3 7.457592 | dt 226ms | tok/sec 579,369 | mfu 12.3% | epoch 1    
    step 0007/1160 | LR_MULT 1 | loss 6.612740 | avg3 7.124226 | dt 226ms | tok/sec 579,560 | mfu 12.3% | epoch 1    
    step 0008/1160 | LR_MULT 1 | loss 6.390462 | avg3 6.669306 | dt 226ms | tok/sec 578,716 | mfu 12.3% | epoch 1    
    step 0009/1160 | LR_MULT 1 | loss 6.250251 | avg3 6.417818 | dt 230ms | tok/sec 569,423 | mfu 12.1% | epoch 1    
    step 0010/1160 | LR_MULT 1 | loss 6.119264 | avg3 6.253326 | dt 229ms | tok/sec 573,530 | mfu 12.2% | epoch 1    
    step 0011/1160 | LR_MULT 1 | loss 5.995872 | avg3 6.121795 | dt 227ms | tok/sec 577,159 | mfu 12.3% | epoch 1    
    step 0012/1160 | LR_MULT 1 | loss 5.897258 | avg3 6.004131 | dt 228ms | tok/sec 574,299 | mfu 12.2% | epoch 1    
    step 0013/1160 | LR_MULT 1 | loss 5.864446 | avg3 5.919192 | dt 228ms | tok/sec 574,263 | mfu 12.2% | epoch 1    
    step 0014/1160 | LR_MULT 1 | loss 5.814262 | avg3 5.858655 | dt 228ms | tok/sec 574,709 | mfu 12.2% | epoch 1    
    step 0015/1160 | LR_MULT 1 | loss 5.750008 | avg3 5.809572 | dt 228ms | tok/sec 575,316 | mfu 12.3% | epoch 1    
    step 0016/1160 | LR_MULT 1 | loss 5.747468 | avg3 5.770579 | dt 229ms | tok/sec 573,106 | mfu 12.2% | epoch 1    
    step 0017/1160 | LR_MULT 1 | loss 5.719550 | avg3 5.739008 | dt 230ms | tok/sec 570,591 | mfu 12.2% | epoch 1    
    step 0018/1160 | LR_MULT 1 | loss 5.644986 | avg3 5.704001 | dt 227ms | tok/sec 577,888 | mfu 12.3% | epoch 1    
    step 0019/1160 | LR_MULT 1 | loss 5.629965 | avg3 5.664834 | dt 230ms | tok/sec 569,424 | mfu 12.1% | epoch 1    
    step 0020/1160 | LR_MULT 1 | loss 5.609179 | avg3 5.628043 | dt 229ms | tok/sec 572,481 | mfu 12.2% | epoch 1    
    cooldown scoring | steps 21-40 | base LR_MULT=1

    step 0021/40 | LR_MULT 0.95 | loss 5.603785 | avg3 5.603785 | dt 225ms | tok/sec 583,409 | mfu 12.4% | epoch 1    
    step 0022/40 | LR_MULT 0.9 | loss 5.577550 | avg3 5.590667 | dt 228ms | tok/sec 575,281 | mfu 12.3% | epoch 1    
    step 0023/40 | LR_MULT 0.85 | loss 5.542690 | avg3 5.574675 | dt 227ms | tok/sec 576,154 | mfu 12.3% | epoch 1    
    step 0024/40 | LR_MULT 0.8 | loss 5.504539 | avg3 5.541593 | dt 231ms | tok/sec 568,595 | mfu 12.1% | epoch 1    
    step 0025/40 | LR_MULT 0.75 | loss 5.491719 | avg3 5.512982 | dt 229ms | tok/sec 573,261 | mfu 12.2% | epoch 1    
    step 0026/40 | LR_MULT 0.7 | loss 5.402129 | avg3 5.466129 | dt 228ms | tok/sec 575,969 | mfu 12.3% | epoch 1    
    step 0027/40 | LR_MULT 0.65 | loss 5.431315 | avg3 5.441721 | dt 229ms | tok/sec 572,877 | mfu 12.2% | epoch 1    
    step 0028/40 | LR_MULT 0.6 | loss 5.438792 | avg3 5.424079 | dt 229ms | tok/sec 572,102 | mfu 12.2% | epoch 1    
    step 0029/40 | LR_MULT 0.55 | loss 5.421493 | avg3 5.430533 | dt 229ms | tok/sec 572,432 | mfu 12.2% | epoch 1    
    step 0030/40 | LR_MULT 0.5 | loss 5.362901 | avg3 5.407729 | dt 229ms | tok/sec 572,143 | mfu 12.2% | epoch 1    
    step 0031/40 | LR_MULT 0.45 | loss 5.349072 | avg3 5.377822 | dt 228ms | tok/sec 576,042 | mfu 12.3% | epoch 1    
    step 0032/40 | LR_MULT 0.4 | loss 5.331207 | avg3 5.347727 | dt 229ms | tok/sec 571,995 | mfu 12.2% | epoch 1    
    step 0033/40 | LR_MULT 0.35 | loss 5.296464 | avg3 5.325581 | dt 228ms | tok/sec 573,668 | mfu 12.2% | epoch 1    
    step 0034/40 | LR_MULT 0.3 | loss 5.321612 | avg3 5.316428 | dt 230ms | tok/sec 570,474 | mfu 12.2% | epoch 1    
    step 0035/40 | LR_MULT 0.25 | loss 5.264493 | avg3 5.294190 | dt 229ms | tok/sec 573,156 | mfu 12.2% | epoch 1    
    step 0036/40 | LR_MULT 0.2 | loss 5.259138 | avg3 5.281748 | dt 227ms | tok/sec 577,096 | mfu 12.3% | epoch 1    
    step 0037/40 | LR_MULT 0.15 | loss 5.279486 | avg3 5.267706 | dt 230ms | tok/sec 569,230 | mfu 12.1% | epoch 1    
    step 0038/40 | LR_MULT 0.1 | loss 5.232354 | avg3 5.256993 | dt 230ms | tok/sec 570,472 | mfu 12.2% | epoch 1    
    step 0039/40 | LR_MULT 0.05 | loss 5.243023 | avg3 5.251621 | dt 229ms | tok/sec 573,080 | mfu 12.2% | epoch 1    
    step 0040/40 | LR_MULT 0 | loss 5.232865 | avg3 5.236081 | dt 228ms | tok/sec 574,744 | mfu 12.2% | epoch 1    
    avg_loss=5.236081 | kept
  candidate 4/7 | parent_step=0 | LR_MULT=1.25

    step 0001/1160 | LR_MULT 1.25 | loss 9.011397 | avg3 9.011397 | dt 211ms | tok/sec 620,162 | mfu 13.2% | epoch 1    
    step 0002/1160 | LR_MULT 1.25 | loss 9.321852 | avg3 9.166625 | dt 224ms | tok/sec 585,238 | mfu 12.5% | epoch 1    
    step 0003/1160 | LR_MULT 1.25 | loss 8.480705 | avg3 8.937985 | dt 227ms | tok/sec 577,808 | mfu 12.3% | epoch 1    
    step 0004/1160 | LR_MULT 1.25 | loss 7.247559 | avg3 8.350039 | dt 229ms | tok/sec 573,276 | mfu 12.2% | epoch 1    
    step 0005/1160 | LR_MULT 1.25 | loss 7.428873 | avg3 7.719045 | dt 231ms | tok/sec 566,351 | mfu 12.1% | epoch 1    
    step 0006/1160 | LR_MULT 1.25 | loss 6.719893 | avg3 7.132108 | dt 229ms | tok/sec 572,619 | mfu 12.2% | epoch 1    
    step 0007/1160 | LR_MULT 1.25 | loss 6.395058 | avg3 6.847941 | dt 227ms | tok/sec 576,947 | mfu 12.3% | epoch 1    
    step 0008/1160 | LR_MULT 1.25 | loss 6.221766 | avg3 6.445572 | dt 229ms | tok/sec 573,153 | mfu 12.2% | epoch 1    
    step 0009/1160 | LR_MULT 1.25 | loss 6.098990 | avg3 6.238605 | dt 228ms | tok/sec 573,632 | mfu 12.2% | epoch 1    
    step 0010/1160 | LR_MULT 1.25 | loss 5.993513 | avg3 6.104756 | dt 231ms | tok/sec 568,052 | mfu 12.1% | epoch 1    
    step 0011/1160 | LR_MULT 1.25 | loss 5.882934 | avg3 5.991812 | dt 229ms | tok/sec 572,630 | mfu 12.2% | epoch 1    
    step 0012/1160 | LR_MULT 1.25 | loss 5.799061 | avg3 5.891836 | dt 227ms | tok/sec 577,404 | mfu 12.3% | epoch 1    
    step 0013/1160 | LR_MULT 1.25 | loss 5.777482 | avg3 5.819825 | dt 229ms | tok/sec 572,911 | mfu 12.2% | epoch 1    
    step 0014/1160 | LR_MULT 1.25 | loss 5.736112 | avg3 5.770885 | dt 230ms | tok/sec 570,363 | mfu 12.1% | epoch 1    
    step 0015/1160 | LR_MULT 1.25 | loss 5.682952 | avg3 5.732182 | dt 230ms | tok/sec 570,802 | mfu 12.2% | epoch 1    
    step 0016/1160 | LR_MULT 1.25 | loss 5.689837 | avg3 5.702967 | dt 228ms | tok/sec 575,969 | mfu 12.3% | epoch 1    
    step 0017/1160 | LR_MULT 1.25 | loss 5.672339 | avg3 5.681709 | dt 229ms | tok/sec 572,430 | mfu 12.2% | epoch 1    
    step 0018/1160 | LR_MULT 1.25 | loss 5.603776 | avg3 5.655317 | dt 230ms | tok/sec 570,899 | mfu 12.2% | epoch 1    
    step 0019/1160 | LR_MULT 1.25 | loss 5.588971 | avg3 5.621695 | dt 229ms | tok/sec 572,906 | mfu 12.2% | epoch 1    
    step 0020/1160 | LR_MULT 1.25 | loss 5.568511 | avg3 5.587086 | dt 229ms | tok/sec 572,495 | mfu 12.2% | epoch 1    
    cooldown scoring | steps 21-40 | base LR_MULT=1.25

    step 0021/40 | LR_MULT 1.1875 | loss 5.571421 | avg3 5.571421 | dt 224ms | tok/sec 585,677 | mfu 12.5% | epoch 1    
    step 0022/40 | LR_MULT 1.125 | loss 5.544474 | avg3 5.557947 | dt 229ms | tok/sec 572,043 | mfu 12.2% | epoch 1    
    step 0023/40 | LR_MULT 1.0625 | loss 5.509128 | avg3 5.541674 | dt 227ms | tok/sec 576,902 | mfu 12.3% | epoch 1    
    step 0024/40 | LR_MULT 1 | loss 5.474694 | avg3 5.509432 | dt 231ms | tok/sec 567,105 | mfu 12.1% | epoch 1    
    step 0025/40 | LR_MULT 0.9375 | loss 5.457426 | avg3 5.480416 | dt 231ms | tok/sec 568,233 | mfu 12.1% | epoch 1    
    step 0026/40 | LR_MULT 0.875 | loss 5.364467 | avg3 5.432196 | dt 228ms | tok/sec 573,735 | mfu 12.2% | epoch 1    
    step 0027/40 | LR_MULT 0.8125 | loss 5.393040 | avg3 5.404977 | dt 228ms | tok/sec 574,494 | mfu 12.2% | epoch 1    
    step 0028/40 | LR_MULT 0.75 | loss 5.402089 | avg3 5.386532 | dt 230ms | tok/sec 570,754 | mfu 12.2% | epoch 1    
    step 0029/40 | LR_MULT 0.6875 | loss 5.380881 | avg3 5.392003 | dt 231ms | tok/sec 568,226 | mfu 12.1% | epoch 1    
    step 0030/40 | LR_MULT 0.625 | loss 5.321453 | avg3 5.368141 | dt 229ms | tok/sec 573,358 | mfu 12.2% | epoch 1    
    step 0031/40 | LR_MULT 0.5625 | loss 5.308153 | avg3 5.336829 | dt 231ms | tok/sec 567,771 | mfu 12.1% | epoch 1    
    step 0032/40 | LR_MULT 0.5 | loss 5.285370 | avg3 5.304992 | dt 229ms | tok/sec 572,244 | mfu 12.2% | epoch 1    
    step 0033/40 | LR_MULT 0.4375 | loss 5.247958 | avg3 5.280493 | dt 229ms | tok/sec 572,921 | mfu 12.2% | epoch 1    
    step 0034/40 | LR_MULT 0.375 | loss 5.268217 | avg3 5.267181 | dt 229ms | tok/sec 571,556 | mfu 12.2% | epoch 1    
    step 0035/40 | LR_MULT 0.3125 | loss 5.213461 | avg3 5.243212 | dt 229ms | tok/sec 572,230 | mfu 12.2% | epoch 1    
    step 0036/40 | LR_MULT 0.25 | loss 5.202804 | avg3 5.228160 | dt 230ms | tok/sec 569,164 | mfu 12.1% | epoch 1    
    step 0037/40 | LR_MULT 0.1875 | loss 5.223063 | avg3 5.213109 | dt 230ms | tok/sec 570,455 | mfu 12.2% | epoch 1    
    step 0038/40 | LR_MULT 0.125 | loss 5.171791 | avg3 5.199219 | dt 229ms | tok/sec 572,165 | mfu 12.2% | epoch 1    
    step 0039/40 | LR_MULT 0.0625 | loss 5.183728 | avg3 5.192861 | dt 231ms | tok/sec 568,533 | mfu 12.1% | epoch 1    
    step 0040/40 | LR_MULT 0 | loss 5.172273 | avg3 5.175931 | dt 230ms | tok/sec 568,925 | mfu 12.1% | epoch 1    
    avg_loss=5.175931 | kept
  candidate 5/7 | parent_step=0 | LR_MULT=1.5

    step 0001/1160 | LR_MULT 1.5 | loss 9.011397 | avg3 9.011397 | dt 213ms | tok/sec 615,714 | mfu 13.1% | epoch 1    
    step 0002/1160 | LR_MULT 1.5 | loss 9.351883 | avg3 9.181640 | dt 227ms | tok/sec 577,565 | mfu 12.3% | epoch 1    
    step 0003/1160 | LR_MULT 1.5 | loss 8.281790 | avg3 8.881690 | dt 229ms | tok/sec 572,663 | mfu 12.2% | epoch 1    
    step 0004/1160 | LR_MULT 1.5 | loss 7.053205 | avg3 8.228959 | dt 229ms | tok/sec 573,094 | mfu 12.2% | epoch 1    
    step 0005/1160 | LR_MULT 1.5 | loss 6.777174 | avg3 7.370723 | dt 231ms | tok/sec 567,755 | mfu 12.1% | epoch 1    
    step 0006/1160 | LR_MULT 1.5 | loss 6.411846 | avg3 6.747408 | dt 229ms | tok/sec 571,470 | mfu 12.2% | epoch 1    
    step 0007/1160 | LR_MULT 1.5 | loss 6.216501 | avg3 6.468507 | dt 228ms | tok/sec 573,808 | mfu 12.2% | epoch 1    
    step 0008/1160 | LR_MULT 1.5 | loss 6.058021 | avg3 6.228789 | dt 228ms | tok/sec 576,027 | mfu 12.3% | epoch 1    
